Date,Open,High,Low,val,Volume
09-01-2022,35.2,36.18,35.07,35.66,92505
08/31/2022,36.65,36.87,35.04,35.41,204807
08/30/2022,37.13,37.13,36.38,36.43,113552
08/29/2022,37.1,37.3,36.66,37.01,64626
08/26/2022,38.03,38.36,37.43,37.52,87895
08/25/2022,38.91,38.91,38.11,38.38,46951
08/24/2022,38.51,39.1,38.13,38.56,70144
08/23/2022,38.22,39.15,38.22,38.77,71610
08/22/2022,39.64,39.66,37.93,38.27,105002
08/19/2022,40.15,40.68,39.69,40.18,118481
08/18/2022,40.37,40.84,40.05,40.41,69637
08/17/2022,40.4,40.91,40.03,40.63,127201
08/16/2022,40.58,41.39,40.41,40.63,124722
08/15/2022,40.5,41.51,40.2,41.03,175105
08-12-2022,38.4,40.06,38.31,39.85,86967
08-11-2022,38.72,39.13,37.86,38.04,85721
08-10-2022,37.01,38.93,36.96,38.52,108353
08-09-2022,36.2,36.41,35.64,36.38,72583
08-08-2022,37.13,37.65,35.74,35.82,164875
08-05-2022,34.54,36.81,34.32,36.68,184548
08-04-2022,36.16,36.37,34.22,34.24,143977
08-03-2022,38.65,38.7,35.81,36,189742
08-02-2022,37.84,40.38,37.5,38.66,233698
